transaction_id,merchant_id,product,fee_type,fee_amount_eur,created_at_clean,year_month,transaction_amount_eur,transaction_status,merchant_cohort
127635241,135,card_reader,default,1.0,2025-06-01 01:58:00,2025-06,46.1,failed,Established
127635242,137,payment_links,default,1.0,2025-06-01 02:02:00,2025-06,38.9,failed,Established
127635243,110,card_reader,default,1.0,2025-06-01 02:09:00,2025-06,56.4,successful,Established
127635244,164,online_store,default,1.0,2025-06-01 02:14:00,2025-06,16.3,successful,Established
127635245,176,card_reader,default,1.0,2025-06-01 02:19:00,2025-06,14.8,successful,Established
127635246,127,card_reader,default,1.0,2025-06-01 02:52:00,2025-06,32.4,failed,Established
127635247,178,payment_links,default,1.0,2025-06-01 03:02:00,2025-06,43.8,failed,Established
127635248,191,card_reader,default,1.0,2025-06-01 03:12:00,2025-06,45.2,successful,Established
127635249,151,online_store,default,1.0,2025-06-01 03:21:00,2025-06,32.6,successful,Established
127635250,171,online_store,default,1.0,2025-06-01 03:21:00,2025-06,47.9,successful,Established
127635251,136,card_reader,default,1.0,2025-06-01 03:28:00,2025-06,3.6,successful,Established
127635252,166,card_reader,default,1.0,2025-06-01 03:30:00,2025-06,51.0,successful,Established
127635253,107,payment_links,default,1.0,2025-06-01 03:35:00,2025-06,41.9,successful,Established
127635254,151,card_reader,default,1.0,2025-06-01 04:05:00,2025-06,43.5,failed,Established
127635255,112,card_reader,default,1.0,2025-06-01 04:22:00,2025-06,25.7,successful,Established
127635256,197,online_store,default,1.0,2025-06-01 04:31:00,2025-06,40.2,failed,Established
127635257,131,card_reader,default,1.0,2025-06-01 05:04:00,2025-06,11.4,failed,Established
127635258,195,card_reader,default,1.0,2025-06-01 05:09:00,2025-06,36.2,successful,Established
127635259,164,online_store,default,1.0,2025-06-01 05:17:00,2025-06,8.5,failed,Established
127635260,112,card_reader,default,1.0,2025-06-01 05:18:00,2025-06,29.2,successful,Established
127635261,146,card_reader,default,1.0,2025-06-01 05:47:00,2025-06,53.6,successful,Established
127635262,154,card_reader,default,1.0,2025-06-01 06:02:00,2025-06,46.0,successful,Established
127635263,114,card_reader,default,1.0,2025-06-01 06:14:00,2025-06,40.4,successful,Established
127635264,100,online_store,default,1.0,2025-06-01 06:22:00,2025-06,6.0,successful,Established
127635265,123,online_store,default,1.0,2025-06-01 06:25:00,2025-06,18.2,failed,Established
127635266,111,card_reader,default,1.0,2025-06-01 06:29:00,2025-06,31.2,failed,Established
127635267,154,card_reader,default,1.0,2025-06-01 06:45:00,2025-06,46.4,successful,Established
127635268,173,card_reader,default,1.0,2025-06-01 06:59:00,2025-06,25.6,successful,Established
127635269,178,card_reader,default,1.0,2025-06-01 07:00:00,2025-06,11.9,successful,Established
127635270,129,card_reader,default,1.0,2025-06-01 07:01:00,2025-06,49.2,successful,Established
127635271,137,card_reader,default,1.0,2025-06-01 07:10:00,2025-06,40.0,successful,Established
127635272,153,card_reader,default,1.0,2025-06-01 07:10:00,2025-06,48.2,successful,Established
127635273,130,card_reader,default,1.0,2025-06-01 07:26:00,2025-06,3.5,successful,Established
127635274,192,card_reader,default,1.0,2025-06-01 07:40:00,2025-06,19.4,successful,Established
127635275,200,payment_links,default,1.0,2025-06-01 07:51:00,2025-06,54.7,failed,Established
127635276,171,card_reader,default,1.0,2025-06-01 08:08:00,2025-06,24.7,failed,Established
127635277,170,online_store,default,1.0,2025-06-01 08:25:00,2025-06,40.1,successful,Established
127635278,159,card_reader,default,1.0,2025-06-01 08:32:00,2025-06,53.0,successful,Established
127635279,106,card_reader,default,1.0,2025-06-01 08:35:00,2025-06,48.7,failed,Established
127635280,163,card_reader,default,1.0,2025-06-01 08:47:00,2025-06,42.4,failed,Established
127635281,192,online_store,default,1.0,2025-06-01 08:51:00,2025-06,57.2,failed,Established
127635282,186,card_reader,default,1.0,2025-06-01 09:09:00,2025-06,18.6,successful,Established
127635283,154,card_reader,default,1.0,2025-06-01 09:22:00,2025-06,57.1,failed,Established
127635284,185,payment_links,default,1.0,2025-06-01 09:28:00,2025-06,36.4,successful,Established
127635285,106,card_reader,default,1.0,2025-06-01 09:42:00,2025-06,27.7,successful,Established
127635286,182,card_reader,default,1.0,2025-06-01 09:43:00,2025-06,57.4,successful,Established
127635287,125,card_reader,default,1.0,2025-06-01 10:02:00,2025-06,55.8,successful,Established
127635288,179,payment_links,default,1.0,2025-06-01 10:02:00,2025-06,59.5,failed,Established
127635289,194,card_reader,default,1.0,2025-06-01 10:19:00,2025-06,24.0,successful,Established
127635290,137,online_store,default,1.0,2025-06-01 10:29:00,2025-06,28.8,failed,Established
127635291,189,card_reader,default,1.0,2025-06-01 10:30:00,2025-06,41.0,successful,Established
127635292,174,card_reader,default,1.0,2025-06-01 10:43:00,2025-06,17.5,successful,Established
127635293,123,payment_links,default,1.0,2025-06-01 11:03:00,2025-06,26.8,failed,Established
127635294,134,card_reader,default,1.0,2025-06-01 11:10:00,2025-06,30.6,successful,Established
127635295,139,card_reader,default,1.0,2025-06-01 11:36:00,2025-06,3.2,failed,Established
127635296,168,card_reader,default,1.0,2025-06-01 11:44:00,2025-06,35.3,successful,Established
127635297,137,card_reader,default,1.0,2025-06-01 11:53:00,2025-06,46.7,failed,Established
127635298,102,card_reader,default,1.0,2025-06-01 11:59:00,2025-06,36.1,successful,Established
127635299,139,online_store,default,1.0,2025-06-01 12:19:00,2025-06,51.8,successful,Established
127635300,152,online_store,default,1.0,2025-06-01 12:33:00,2025-06,7.4,successful,Established
127635301,143,card_reader,default,1.0,2025-06-01 12:38:00,2025-06,18.4,failed,Established
127635302,119,payment_links,default,1.0,2025-06-01 12:48:00,2025-06,26.2,successful,Established
127635303,198,payment_links,default,1.0,2025-06-01 12:57:00,2025-06,21.4,failed,Established
127635304,149,online_store,default,1.0,2025-06-01 13:01:00,2025-06,18.3,successful,Established
127635305,162,card_reader,default,1.0,2025-06-01 13:02:00,2025-06,17.3,successful,Established
127635306,164,online_store,default,1.0,2025-06-01 13:06:00,2025-06,39.7,successful,Established
127635307,146,card_reader,default,1.0,2025-06-01 13:18:00,2025-06,59.4,successful,Established
127635308,137,card_reader,default,1.0,2025-06-01 13:20:00,2025-06,30.0,failed,Established
127635309,101,card_reader,default,1.0,2025-06-01 13:22:00,2025-06,5.8,successful,Established
127635310,199,payment_links,default,1.0,2025-06-01 13:28:00,2025-06,21.2,failed,Established
127635311,138,card_reader,default,1.0,2025-06-01 13:56:00,2025-06,59.8,failed,Established
127635312,129,card_reader,default,1.0,2025-06-01 14:12:00,2025-06,29.4,successful,Established
127635313,134,payment_links,default,1.0,2025-06-01 14:27:00,2025-06,35.6,successful,Established
127635314,109,online_store,default,1.0,2025-06-01 14:55:00,2025-06,32.6,successful,Established
127635315,151,payment_links,default,1.0,2025-06-01 15:12:00,2025-06,55.1,successful,Established
127635316,119,card_reader,default,1.0,2025-06-01 15:23:00,2025-06,50.7,successful,Established
